23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
25000Call,Index Options,29-May-2025,Call,25000,73.85,197.7,62.2,146.05,2221219,NIFTY29MAY2525000CE,61755
24900Call,Index Options,29-May-2025,Call,24900,106.05,252.45,87.1,192.35,1859587,NIFTY29MAY2524900CE,61751
24800Put,Index Options,29-May-2025,Put,24800,269.95,289.9,148.2,167.75,1738920,NIFTY29MAY2524800PE,61726
24800Call,Index Options,29-May-2025,Call,24800,150.0,314.05,119.3,246.95,1738697,NIFTY29MAY2524800CE,61725
25500Call,Index Options,29-May-2025,Call,25500,14.9,41.4,11.05,24.05,1438851,NIFTY29MAY2525500CE,61777
24700Put,Index Options,29-May-2025,Put,24700,219.45,231.15,115.2,130.45,1432527,NIFTY29MAY2524700PE,61692
25200Call,Index Options,29-May-2025,Call,25200,40.45,114.6,30.75,76.65,1420257,NIFTY29MAY2525200CE,61763
24500Put,Index Options,29-May-2025,Put,24500,131.0,139.8,66.4,76.2,1360773,NIFTY29MAY2524500PE,61684
24600Put,Index Options,29-May-2025,Put,24600,178.25,181.5,88.05,100.25,1358692,NIFTY29MAY2524600PE,61688
24900Put,Index Options,29-May-2025,Put,24900,347.8,357.4,186.0,212.95,1156817,NIFTY29MAY2524900PE,61752
24850Call,Index Options,29-May-2025,Call,24850,125.0,282.95,102.15,219.1,1146375,NIFTY29MAY2524850CE,61727
25100Call,Index Options,29-May-2025,Call,25100,58.6,151.8,43.7,107.65,1115562,NIFTY29MAY2525100CE,61759
25300Call,Index Options,29-May-2025,Call,25300,32.0,84.2,21.55,52.85,1050561,NIFTY29MAY2525300CE,61767
24850Put,Index Options,29-May-2025,Put,24850,296.85,320.9,166.0,189.45,946092,NIFTY29MAY2524850PE,61750
25400Call,Index Options,29-May-2025,Call,25400,20.0,59.85,15.2,35.5,913169,NIFTY29MAY2525400CE,61771
24950Call,Index Options,29-May-2025,Call,24950,90.0,224.25,73.7,168.45,908240,NIFTY29MAY2524950CE,61753
24700Call,Index Options,29-May-2025,Call,24700,186.0,383.0,160.5,309.6,903093,NIFTY29MAY2524700CE,61691
24000Put,Index Options,29-May-2025,Put,24000,26.45,34.4,18.3,20.6,820539,NIFTY29MAY2524000PE,61664
26000Call,Index Options,29-May-2025,Call,26000,3.2,5.5,2.6,3.05,816190,NIFTY29MAY2526000CE,61801
24750Put,Index Options,29-May-2025,Put,24750,251.05,259.45,130.9,147.95,802498,NIFTY29MAY2524750PE,61724
24400Put,Index Options,29-May-2025,Put,24400,98.15,106.75,51.0,58.0,798791,NIFTY29MAY2524400PE,61680
24650Put,Index Options,29-May-2025,Put,24650,191.1,205.0,101.05,114.6,710422,NIFTY29MAY2524650PE,61690
24750Call,Index Options,29-May-2025,Call,24750,158.05,348.05,139.0,277.4,694146,NIFTY29MAY2524750CE,61693
25600Call,Index Options,29-May-2025,Call,25600,9.95,27.65,8.0,15.4,673743,NIFTY29MAY2525600CE,61783
25050Call,Index Options,29-May-2025,Call,25050,67.95,173.95,52.25,126.05,652182,NIFTY29MAY2525050CE,61757
24200Put,Index Options,29-May-2025,Put,24200,58.2,60.6,29.7,33.5,635652,NIFTY29MAY2524200PE,61672
24300Put,Index Options,29-May-2025,Put,24300,63.9,80.95,39.0,44.2,634857,NIFTY29MAY2524300PE,61676
25150Call,Index Options,29-May-2025,Call,25150,46.55,133.05,36.65,91.45,621407,NIFTY29MAY2525150CE,61761
25250Call,Index Options,29-May-2025,Call,25250,32.3,97.8,25.8,64.05,616187,NIFTY29MAY2525250CE,61765
